Date,Sentence,Source
2020-04-02,ETF Spotlight: Energy stocks rise on hopes of a Saudi-Russia truce on oil prices,DataNews.io - cnbc.com
2020-04-07,ExxonMobil Latest Petroleum Giant To Slash Oilfield Spending,DataNews.io - ibtimes.com
2020-04-09,"Turn your favorite family photo into a stunning, handmade portrait with Paint Your Life",DataNews.io - cnn.com
2020-04-10,Coronavirus leads to historic drop in carbon emissions,DataNews.io - axios.com
2020-04-14,"Another Coronavirus Shock: Rice, Wheat Prices Surge As Countries Hold On To Food Grain Stocks",DataNews.io - ibtimes.com
2020-04-14,"Another Coronavirus Shock: Rice, Wheat Prices Surge As Countries Hold On To Food Grain Stocks",DataNews.io - ibtimes.com
2020-04-17,The best nonstick pans of 2020,DataNews.io - cnn.com
2020-04-30,Bolsonaro has Brazil headed for worst recession ever amid coronavirus response,DataNews.io - axios.com
2020-04-30,Shell Cuts Dividend For First Time Since WWII On Oil Crisis,DataNews.io - ibtimes.com
2020-04-30,Shell Cuts Dividend For First Time Since WWII On Oil Crisis,DataNews.io - ibtimes.com
2020-05-01,Crude Extends Rally As Output Cuts Begin,DataNews.io - ibtimes.com
2020-06-01,"OPEC, Russia May Extend Output Cuts To Support Crude Prices, But Timeline Uncertain",DataNews.io - ibtimes.com
2020-06-01,"OPEC, Russia May Extend Output Cuts To Support Crude Prices, But Timeline Uncertain",DataNews.io - ibtimes.com
2020-06-16,"Super Mario LEGO Sets: Prices, Nintendo Characters Included In New Expansion Packs",DataNews.io - ibtimes.com
2020-06-17,Closing sales start at some JCPenney stores,DataNews.io - cnn.com
2020-06-17,Everything you need for the perfect taco night at home,DataNews.io - cnn.com
2020-06-17,"Saudi Aramco completes $69 billion Sabic deal, extends payment window amid oil hit",DataNews.io - cnbc.com
2020-06-17,"Hospital systems Advocate Aurora, Beaumont in talks to merge",DataNews.io - axios.com
2020-06-17,Major oil executives 'optimistic' amid anxiety over coronavirus 'second wave',DataNews.io - cnbc.com
2020-06-17,"Beats Solo 3, our favorite on-ear headphones, are on sale at eBay",DataNews.io - cnn.com
2020-06-17,Chris Sacca returns to venture capital with clean energy firm,DataNews.io - axios.com
2020-06-17,Inequality in America was huge before the pandemic. The stock market is making it worse,DataNews.io - cnn.com
2020-06-17,OPEC Sticks to Global Oil-Demand Forecast Despite Signs of Rebound,DataNews.io - wsj.com
2020-06-17,23 Father's Day gifts under $50 that he'll love,DataNews.io - cnn.com
