Date,Sentence,Source
2020-10-01,"<p>Whether you’re going veggie for health, ethical or environmental reasons, cutting out animal produce has never been easier</p>",Newsapi.org - Independent
2020-10-01,Exxon Mobil Corp <XOM.N> said on Thursday its third-quarter results would be buoyed by higher prices for crude oil after a historic collapse in the previous quarter as coronavirus-related lockdowns caused a dramatic plunge in demand.,Newsapi.org - Reuters
2020-10-01,Malaysian palm oil futures rose 2.8% on Thursday on bargain buying and overnight rally in soy prices on the Chicago Board of Trade (CBOT).,Newsapi.org - Reuters
2020-10-01,"Crude oil and natural gas are in enduring bear markets that have bounced, leaving prices vulnerable, and hopeful expectations of a demand recovery are likely to disappoint and keep prices under pressure.",Newsapi.org - Bloomberg
2020-10-01,"With the nation roiled by the pandemic and protests, The Associated Press decided to take a road trip",Newsapi.org - Independent
2020-10-01,,Newsapi.org - Bloomberg
2020-10-01,"Closing prices for crude oil, gold and other commodities, and foreign exchange levels",Newsapi.org - ABC News
2020-10-01,"Moscow managed to preserve the Syrian regime, but it has failed to achieve all its goals in Syria.",Newsapi.org - Al Jazeera English
2020-10-01,Analysts said widening of positions by traders mainly helped refined soya oil prices to trade higher in futures market.,Newsapi.org - The Times of India
2020-10-01,"The Colorado home isn't in foreclosure anymore, so technically, it's still owned by Watts, even as he's sitting in prison.",Newsapi.org - Newsweek
2020-10-01,Malaysian palm oil futures rose 2.3% on Thursday on bargain buying and overnight rally in soy prices on the Chicago Board of Trade (CBOT).,Newsapi.org - Reuters
2020-10-01,"Nearly 400,000 people have already returned to the Indian state of Kerala from the gulf since May.",Newsapi.org - The Washington Post
2020-10-01,Malaysian palm oil futures rose 2.3% on Thursday on bargain buying and overnight rally in soy prices on the Chicago Board of Trade (CBOT).,Newsapi.org - Reuters
2020-10-01,"Lebanon's debt crisis, a debt test in Oman, low oil prices, and giddy Saudi stock valuations among risks.",Newsapi.org - Al Jazeera English
